[2026-09-23 12:00:00 TP0 EP0] Decode batch, #running-req: 32, #full token: 1, full token usage: 0.85, #swa token: 1, swa token usage: 0.10, accept len: 4.0, accept rate: 0.60, cuda graph: True, gen throughput (token/s): 500.00, #queue-req: 0
[2026-09-23 12:00:06 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 100, #cached-token: 9900, full token usage: 0.85, swa token usage: 0.10, #running-req: 32, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 900.0
[2026-09-23 12:00:07 TP0 EP0] Decode batch, #running-req: 32, #full token: 1, full token usage: 0.85, #swa token: 1, swa token usage: 0.10, accept len: 4.0, accept rate: 0.60, cuda graph: True, gen throughput (token/s): 500.00, #queue-req: 0
[2026-09-23 12:00:07 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 100, #cached-token: 9900, full token usage: 0.85, swa token usage: 0.10, #running-req: 32, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 900.0
[2026-09-23 12:00:08 TP0 EP0] Decode batch, #running-req: 32, #full token: 1, full token usage: 0.85, #swa token: 1, swa token usage: 0.10, accept len: 4.0, accept rate: 0.60, cuda graph: True, gen throughput (token/s): 500.00, #queue-req: 0
[2026-09-23 12:00:08 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 100, #cached-token: 9900, full token usage: 0.85, swa token usage: 0.10, #running-req: 32, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 900.0
[2026-09-23 12:00:09 TP0 EP0] Decode batch, #running-req: 32, #full token: 1, full token usage: 0.85, #swa token: 1, swa token usage: 0.10, accept len: 4.0, accept rate: 0.60, cuda graph: True, gen throughput (token/s): 500.00, #queue-req: 0
[2026-09-23 12:00:09 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 100, #cached-token: 9900, full token usage: 0.85, swa token usage: 0.10, #running-req: 32, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 900.0
[2026-09-23 12:00:10 TP0 EP0] Decode batch, #running-req: 32, #full token: 1, full token usage: 0.85, #swa token: 1, swa token usage: 0.10, accept len: 4.0, accept rate: 0.60, cuda graph: True, gen throughput (token/s): 500.00, #queue-req: 0
[2026-09-23 12:00:10 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 100, #cached-token: 9900, full token usage: 0.85, swa token usage: 0.10, #running-req: 32, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 900.0
[2026-09-23 12:00:11 TP0 EP0] Decode batch, #running-req: 32, #full token: 1, full token usage: 0.85, #swa token: 1, swa token usage: 0.10, accept len: 4.0, accept rate: 0.60, cuda graph: True, gen throughput (token/s): 500.00, #queue-req: 0
[2026-09-23 12:00:11 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 100, #cached-token: 9900, full token usage: 0.85, swa token usage: 0.10, #running-req: 32, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 900.0
[2026-09-23 12:00:12 TP0 EP0] Decode batch, #running-req: 32, #full token: 1, full token usage: 0.85, #swa token: 1, swa token usage: 0.10, accept len: 4.0, accept rate: 0.60, cuda graph: True, gen throughput (token/s): 500.00, #queue-req: 0
[2026-09-23 12:00:12 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 100, #cached-token: 9900, full token usage: 0.85, swa token usage: 0.10, #running-req: 32, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 900.0
[2026-09-23 12:00:13 TP0 EP0] Decode batch, #running-req: 32, #full token: 1, full token usage: 0.85, #swa token: 1, swa token usage: 0.10, accept len: 4.0, accept rate: 0.60, cuda graph: True, gen throughput (token/s): 500.00, #queue-req: 0
[2026-09-23 12:00:13 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 100, #cached-token: 9900, full token usage: 0.85, swa token usage: 0.10, #running-req: 32, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 900.0
[2026-09-23 12:00:14 TP0 EP0] Decode batch, #running-req: 32, #full token: 1, full token usage: 0.85, #swa token: 1, swa token usage: 0.10, accept len: 4.0, accept rate: 0.60, cuda graph: True, gen throughput (token/s): 500.00, #queue-req: 0
[2026-09-23 12:00:14 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 100, #cached-token: 9900, full token usage: 0.85, swa token usage: 0.10, #running-req: 32, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 900.0
[2026-09-23 12:00:15 TP0 EP0] Decode batch, #running-req: 32, #full token: 1, full token usage: 0.85, #swa token: 1, swa token usage: 0.10, accept len: 4.0, accept rate: 0.60, cuda graph: True, gen throughput (token/s): 500.00, #queue-req: 0
[2026-09-23 12:00:15 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 100, #cached-token: 9900, full token usage: 0.85, swa token usage: 0.10, #running-req: 32, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 900.0
[2026-09-23 12:00:16 TP0 EP0] Decode batch, #running-req: 32, #full token: 1, full token usage: 0.85, #swa token: 1, swa token usage: 0.10, accept len: 4.0, accept rate: 0.60, cuda graph: True, gen throughput (token/s): 500.00, #queue-req: 0
[2026-09-23 12:00:16 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 100, #cached-token: 9900, full token usage: 0.85, swa token usage: 0.10, #running-req: 32, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 900.0
[2026-09-23 12:00:17 TP0 EP0] Decode batch, #running-req: 32, #full token: 1, full token usage: 0.85, #swa token: 1, swa token usage: 0.10, accept len: 4.0, accept rate: 0.60, cuda graph: True, gen throughput (token/s): 500.00, #queue-req: 0
[2026-09-23 12:00:17 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 100, #cached-token: 9900, full token usage: 0.85, swa token usage: 0.10, #running-req: 32, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 900.0
[2026-09-23 12:00:18 TP0 EP0] Decode batch, #running-req: 32, #full token: 1, full token usage: 0.85, #swa token: 1, swa token usage: 0.10, accept len: 4.0, accept rate: 0.60, cuda graph: True, gen throughput (token/s): 500.00, #queue-req: 0
[2026-09-23 12:00:18 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 100, #cached-token: 9900, full token usage: 0.85, swa token usage: 0.10, #running-req: 32, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 900.0
[2026-09-23 12:00:19 TP0 EP0] Decode batch, #running-req: 32, #full token: 1, full token usage: 0.85, #swa token: 1, swa token usage: 0.10, accept len: 4.0, accept rate: 0.60, cuda graph: True, gen throughput (token/s): 500.00, #queue-req: 0
[2026-09-23 12:00:19 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 100, #cached-token: 9900, full token usage: 0.85, swa token usage: 0.10, #running-req: 32, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 900.0
[2026-09-23 12:00:20 TP0 EP0] Decode batch, #running-req: 32, #full token: 1, full token usage: 0.85, #swa token: 1, swa token usage: 0.10, accept len: 4.0, accept rate: 0.60, cuda graph: True, gen throughput (token/s): 500.00, #queue-req: 0
[2026-09-23 12:00:20 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 100, #cached-token: 9900, full token usage: 0.85, swa token usage: 0.10, #running-req: 32, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 900.0
[2026-09-23 12:00:21 TP0 EP0] Decode batch, #running-req: 32, #full token: 1, full token usage: 0.85, #swa token: 1, swa token usage: 0.10, accept len: 4.0, accept rate: 0.60, cuda graph: True, gen throughput (token/s): 500.00, #queue-req: 0
[2026-09-23 12:00:21 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 100, #cached-token: 9900, full token usage: 0.85, swa token usage: 0.10, #running-req: 32, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 900.0
[2026-09-23 12:00:22 TP0 EP0] Decode batch, #running-req: 32, #full token: 1, full token usage: 0.85, #swa token: 1, swa token usage: 0.10, accept len: 4.0, accept rate: 0.60, cuda graph: True, gen throughput (token/s): 500.00, #queue-req: 0
[2026-09-23 12:00:22 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 100, #cached-token: 9900, full token usage: 0.85, swa token usage: 0.10, #running-req: 32, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 900.0
[2026-09-23 12:00:23 TP0 EP0] Decode batch, #running-req: 32, #full token: 1, full token usage: 0.85, #swa token: 1, swa token usage: 0.10, accept len: 4.0, accept rate: 0.60, cuda graph: True, gen throughput (token/s): 500.00, #queue-req: 0
[2026-09-23 12:00:23 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 100, #cached-token: 9900, full token usage: 0.85, swa token usage: 0.10, #running-req: 32, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 900.0
[2026-09-23 12:00:24 TP0 EP0] Decode batch, #running-req: 32, #full token: 1, full token usage: 0.85, #swa token: 1, swa token usage: 0.10, accept len: 4.0, accept rate: 0.60, cuda graph: True, gen throughput (token/s): 500.00, #queue-req: 0
[2026-09-23 12:00:24 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 100, #cached-token: 9900, full token usage: 0.85, swa token usage: 0.10, #running-req: 32, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 900.0
[2026-09-23 12:00:25 TP0 EP0] Decode batch, #running-req: 32, #full token: 1, full token usage: 0.85, #swa token: 1, swa token usage: 0.10, accept len: 4.0, accept rate: 0.60, cuda graph: True, gen throughput (token/s): 500.00, #queue-req: 0
[2026-09-23 12:00:25 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 100, #cached-token: 9900, full token usage: 0.85, swa token usage: 0.10, #running-req: 32, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 900.0
[2026-09-23 12:00:26 TP0 EP0] Decode batch, #running-req: 32, #full token: 1, full token usage: 0.85, #swa token: 1, swa token usage: 0.10, accept len: 4.0, accept rate: 0.60, cuda graph: True, gen throughput (token/s): 500.00, #queue-req: 0
[2026-09-23 12:00:26 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 100, #cached-token: 9900, full token usage: 0.85, swa token usage: 0.10, #running-req: 32, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 900.0
[2026-09-23 12:00:27 TP0 EP0] Decode batch, #running-req: 32, #full token: 1, full token usage: 0.85, #swa token: 1, swa token usage: 0.10, accept len: 4.0, accept rate: 0.60, cuda graph: True, gen throughput (token/s): 500.00, #queue-req: 0
[2026-09-23 12:00:27 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 100, #cached-token: 9900, full token usage: 0.85, swa token usage: 0.10, #running-req: 32, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 900.0
[2026-09-23 12:00:28 TP0 EP0] Decode batch, #running-req: 32, #full token: 1, full token usage: 0.85, #swa token: 1, swa token usage: 0.10, accept len: 4.0, accept rate: 0.60, cuda graph: True, gen throughput (token/s): 500.00, #queue-req: 0
[2026-09-23 12:00:28 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 100, #cached-token: 9900, full token usage: 0.85, swa token usage: 0.10, #running-req: 32, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 900.0
[2026-09-23 12:00:29 TP0 EP0] Decode batch, #running-req: 32, #full token: 1, full token usage: 0.85, #swa token: 1, swa token usage: 0.10, accept len: 4.0, accept rate: 0.60, cuda graph: True, gen throughput (token/s): 500.00, #queue-req: 0
[2026-09-23 12:00:29 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 100, #cached-token: 9900, full token usage: 0.85, swa token usage: 0.10, #running-req: 32, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 900.0
[2026-09-23 12:01:00 TP0 EP0] Decode batch, #running-req: 32, #full token: 1, full token usage: 0.85, #swa token: 1, swa token usage: 0.10, accept len: 3.8, accept rate: 0.60, cuda graph: True, gen throughput (token/s): 103.00, #queue-req: 0
[2026-09-23 12:01:00 TP0 EP0] Prefill batch, #new-seq: 4, #new-token: 8000, #cached-token: 2000, full token usage: 0.85, swa token usage: 0.10, #running-req: 32, #queue-req: 32, #pending-token: 0, cuda graph: False, input throughput (token/s): 900.0
[2026-09-23 12:01:01 TP0 EP0] Decode batch, #running-req: 32, #full token: 1, full token usage: 0.85, #swa token: 1, swa token usage: 0.10, accept len: 3.8, accept rate: 0.60, cuda graph: True, gen throughput (token/s): 103.00, #queue-req: 0
[2026-09-23 12:01:01 TP0 EP0] Prefill batch, #new-seq: 4, #new-token: 8000, #cached-token: 2000, full token usage: 0.85, swa token usage: 0.10, #running-req: 32, #queue-req: 32, #pending-token: 0, cuda graph: False, input throughput (token/s): 900.0
[2026-09-23 12:01:02 TP0 EP0] Decode batch, #running-req: 32, #full token: 1, full token usage: 0.85, #swa token: 1, swa token usage: 0.10, accept len: 3.8, accept rate: 0.60, cuda graph: True, gen throughput (token/s): 103.00, #queue-req: 0
[2026-09-23 12:01:02 TP0 EP0] Prefill batch, #new-seq: 4, #new-token: 8000, #cached-token: 2000, full token usage: 0.85, swa token usage: 0.10, #running-req: 32, #queue-req: 32, #pending-token: 0, cuda graph: False, input throughput (token/s): 900.0
[2026-09-23 12:01:03 TP0 EP0] Decode batch, #running-req: 32, #full token: 1, full token usage: 0.85, #swa token: 1, swa token usage: 0.10, accept len: 3.8, accept rate: 0.60, cuda graph: True, gen throughput (token/s): 103.00, #queue-req: 0
[2026-09-23 12:01:03 TP0 EP0] Prefill batch, #new-seq: 4, #new-token: 8000, #cached-token: 2000, full token usage: 0.85, swa token usage: 0.10, #running-req: 32, #queue-req: 32, #pending-token: 0, cuda graph: False, input throughput (token/s): 900.0
[2026-09-23 12:01:04 TP0 EP0] Decode batch, #running-req: 32, #full token: 1, full token usage: 0.85, #swa token: 1, swa token usage: 0.10, accept len: 3.8, accept rate: 0.60, cuda graph: True, gen throughput (token/s): 103.00, #queue-req: 0
[2026-09-23 12:01:04 TP0 EP0] Prefill batch, #new-seq: 4, #new-token: 8000, #cached-token: 2000, full token usage: 0.85, swa token usage: 0.10, #running-req: 32, #queue-req: 32, #pending-token: 0, cuda graph: False, input throughput (token/s): 900.0
[2026-09-23 12:01:05 TP0 EP0] Decode batch, #running-req: 32, #full token: 1, full token usage: 0.85, #swa token: 1, swa token usage: 0.10, accept len: 3.8, accept rate: 0.60, cuda graph: True, gen throughput (token/s): 103.00, #queue-req: 0
[2026-09-23 12:01:05 TP0 EP0] Prefill batch, #new-seq: 4, #new-token: 8000, #cached-token: 2000, full token usage: 0.85, swa token usage: 0.10, #running-req: 32, #queue-req: 32, #pending-token: 0, cuda graph: False, input throughput (token/s): 900.0
[2026-09-23 12:01:06 TP0 EP0] Decode batch, #running-req: 32, #full token: 1, full token usage: 0.85, #swa token: 1, swa token usage: 0.10, accept len: 3.8, accept rate: 0.60, cuda graph: True, gen throughput (token/s): 103.00, #queue-req: 0
[2026-09-23 12:01:06 TP0 EP0] Prefill batch, #new-seq: 4, #new-token: 8000, #cached-token: 2000, full token usage: 0.85, swa token usage: 0.10, #running-req: 32, #queue-req: 32, #pending-token: 0, cuda graph: False, input throughput (token/s): 900.0
[2026-09-23 12:01:07 TP0 EP0] Decode batch, #running-req: 32, #full token: 1, full token usage: 0.85, #swa token: 1, swa token usage: 0.10, accept len: 3.8, accept rate: 0.60, cuda graph: True, gen throughput (token/s): 103.00, #queue-req: 0
[2026-09-23 12:01:07 TP0 EP0] Prefill batch, #new-seq: 4, #new-token: 8000, #cached-token: 2000, full token usage: 0.85, swa token usage: 0.10, #running-req: 32, #queue-req: 32, #pending-token: 0, cuda graph: False, input throughput (token/s): 900.0
[2026-09-23 12:01:08 TP0 EP0] Decode batch, #running-req: 32, #full token: 1, full token usage: 0.85, #swa token: 1, swa token usage: 0.10, accept len: 3.8, accept rate: 0.60, cuda graph: True, gen throughput (token/s): 103.00, #queue-req: 0
[2026-09-23 12:01:08 TP0 EP0] Prefill batch, #new-seq: 4, #new-token: 8000, #cached-token: 2000, full token usage: 0.85, swa token usage: 0.10, #running-req: 32, #queue-req: 32, #pending-token: 0, cuda graph: False, input throughput (token/s): 900.0
[2026-09-23 12:01:09 TP0 EP0] Decode batch, #running-req: 32, #full token: 1, full token usage: 0.85, #swa token: 1, swa token usage: 0.10, accept len: 3.8, accept rate: 0.60, cuda graph: True, gen throughput (token/s): 103.00, #queue-req: 0
[2026-09-23 12:01:09 TP0 EP0] Prefill batch, #new-seq: 4, #new-token: 8000, #cached-token: 2000, full token usage: 0.85, swa token usage: 0.10, #running-req: 32, #queue-req: 32, #pending-token: 0, cuda graph: False, input throughput (token/s): 900.0
[2026-09-23 12:01:10 TP0 EP0] Decode batch, #running-req: 32, #full token: 1, full token usage: 0.85, #swa token: 1, swa token usage: 0.10, accept len: 3.8, accept rate: 0.60, cuda graph: True, gen throughput (token/s): 103.00, #queue-req: 0
[2026-09-23 12:01:10 TP0 EP0] Prefill batch, #new-seq: 4, #new-token: 8000, #cached-token: 2000, full token usage: 0.85, swa token usage: 0.10, #running-req: 32, #queue-req: 32, #pending-token: 0, cuda graph: False, input throughput (token/s): 900.0
[2026-09-23 12:01:11 TP0 EP0] Decode batch, #running-req: 32, #full token: 1, full token usage: 0.85, #swa token: 1, swa token usage: 0.10, accept len: 3.8, accept rate: 0.60, cuda graph: True, gen throughput (token/s): 103.00, #queue-req: 0
[2026-09-23 12:01:11 TP0 EP0] Prefill batch, #new-seq: 4, #new-token: 8000, #cached-token: 2000, full token usage: 0.85, swa token usage: 0.10, #running-req: 32, #queue-req: 32, #pending-token: 0, cuda graph: False, input throughput (token/s): 900.0
[2026-09-23 12:01:12 TP0 EP0] Decode batch, #running-req: 32, #full token: 1, full token usage: 0.85, #swa token: 1, swa token usage: 0.10, accept len: 3.8, accept rate: 0.60, cuda graph: True, gen throughput (token/s): 103.00, #queue-req: 0
[2026-09-23 12:01:12 TP0 EP0] Prefill batch, #new-seq: 4, #new-token: 8000, #cached-token: 2000, full token usage: 0.85, swa token usage: 0.10, #running-req: 32, #queue-req: 32, #pending-token: 0, cuda graph: False, input throughput (token/s): 900.0
[2026-09-23 12:01:13 TP0 EP0] Decode batch, #running-req: 32, #full token: 1, full token usage: 0.85, #swa token: 1, swa token usage: 0.10, accept len: 3.8, accept rate: 0.60, cuda graph: True, gen throughput (token/s): 103.00, #queue-req: 0
[2026-09-23 12:01:13 TP0 EP0] Prefill batch, #new-seq: 4, #new-token: 8000, #cached-token: 2000, full token usage: 0.85, swa token usage: 0.10, #running-req: 32, #queue-req: 32, #pending-token: 0, cuda graph: False, input throughput (token/s): 900.0
[2026-09-23 12:01:14 TP0 EP0] Decode batch, #running-req: 32, #full token: 1, full token usage: 0.85, #swa token: 1, swa token usage: 0.10, accept len: 3.8, accept rate: 0.60, cuda graph: True, gen throughput (token/s): 103.00, #queue-req: 0
[2026-09-23 12:01:14 TP0 EP0] Prefill batch, #new-seq: 4, #new-token: 8000, #cached-token: 2000, full token usage: 0.85, swa token usage: 0.10, #running-req: 32, #queue-req: 32, #pending-token: 0, cuda graph: False, input throughput (token/s): 900.0
[2026-09-23 12:01:15 TP0 EP0] Decode batch, #running-req: 32, #full token: 1, full token usage: 0.85, #swa token: 1, swa token usage: 0.10, accept len: 3.8, accept rate: 0.60, cuda graph: True, gen throughput (token/s): 103.00, #queue-req: 0
[2026-09-23 12:01:15 TP0 EP0] Prefill batch, #new-seq: 4, #new-token: 8000, #cached-token: 2000, full token usage: 0.85, swa token usage: 0.10, #running-req: 32, #queue-req: 32, #pending-token: 0, cuda graph: False, input throughput (token/s): 900.0
[2026-09-23 12:01:16 TP0 EP0] Decode batch, #running-req: 32, #full token: 1, full token usage: 0.85, #swa token: 1, swa token usage: 0.10, accept len: 3.8, accept rate: 0.60, cuda graph: True, gen throughput (token/s): 103.00, #queue-req: 0
[2026-09-23 12:01:16 TP0 EP0] Prefill batch, #new-seq: 4, #new-token: 8000, #cached-token: 2000, full token usage: 0.85, swa token usage: 0.10, #running-req: 32, #queue-req: 32, #pending-token: 0, cuda graph: False, input throughput (token/s): 900.0
[2026-09-23 12:01:17 TP0 EP0] Decode batch, #running-req: 32, #full token: 1, full token usage: 0.85, #swa token: 1, swa token usage: 0.10, accept len: 3.8, accept rate: 0.60, cuda graph: True, gen throughput (token/s): 103.00, #queue-req: 0
[2026-09-23 12:01:17 TP0 EP0] Prefill batch, #new-seq: 4, #new-token: 8000, #cached-token: 2000, full token usage: 0.85, swa token usage: 0.10, #running-req: 32, #queue-req: 32, #pending-token: 0, cuda graph: False, input throughput (token/s): 900.0
[2026-09-23 12:01:18 TP0 EP0] Decode batch, #running-req: 32, #full token: 1, full token usage: 0.85, #swa token: 1, swa token usage: 0.10, accept len: 3.8, accept rate: 0.60, cuda graph: True, gen throughput (token/s): 103.00, #queue-req: 0
[2026-09-23 12:01:18 TP0 EP0] Prefill batch, #new-seq: 4, #new-token: 8000, #cached-token: 2000, full token usage: 0.85, swa token usage: 0.10, #running-req: 32, #queue-req: 32, #pending-token: 0, cuda graph: False, input throughput (token/s): 900.0
[2026-09-23 12:01:19 TP0 EP0] Decode batch, #running-req: 32, #full token: 1, full token usage: 0.85, #swa token: 1, swa token usage: 0.10, accept len: 3.8, accept rate: 0.60, cuda graph: True, gen throughput (token/s): 103.00, #queue-req: 0
[2026-09-23 12:01:19 TP0 EP0] Prefill batch, #new-seq: 4, #new-token: 8000, #cached-token: 2000, full token usage: 0.85, swa token usage: 0.10, #running-req: 32, #queue-req: 32, #pending-token: 0, cuda graph: False, input throughput (token/s): 900.0
[2026-09-23 12:01:20 TP0 EP0] Decode batch, #running-req: 32, #full token: 1, full token usage: 0.85, #swa token: 1, swa token usage: 0.10, accept len: 3.8, accept rate: 0.60, cuda graph: True, gen throughput (token/s): 103.00, #queue-req: 0
[2026-09-23 12:01:20 TP0 EP0] Prefill batch, #new-seq: 4, #new-token: 8000, #cached-token: 2000, full token usage: 0.85, swa token usage: 0.10, #running-req: 32, #queue-req: 32, #pending-token: 0, cuda graph: False, input throughput (token/s): 900.0
[2026-09-23 12:01:21 TP0 EP0] Decode batch, #running-req: 32, #full token: 1, full token usage: 0.85, #swa token: 1, swa token usage: 0.10, accept len: 3.8, accept rate: 0.60, cuda graph: True, gen throughput (token/s): 103.00, #queue-req: 0
[2026-09-23 12:01:21 TP0 EP0] Prefill batch, #new-seq: 4, #new-token: 8000, #cached-token: 2000, full token usage: 0.85, swa token usage: 0.10, #running-req: 32, #queue-req: 32, #pending-token: 0, cuda graph: False, input throughput (token/s): 900.0
[2026-09-23 12:01:22 TP0 EP0] Decode batch, #running-req: 32, #full token: 1, full token usage: 0.85, #swa token: 1, swa token usage: 0.10, accept len: 3.8, accept rate: 0.60, cuda graph: True, gen throughput (token/s): 103.00, #queue-req: 0
[2026-09-23 12:01:22 TP0 EP0] Prefill batch, #new-seq: 4, #new-token: 8000, #cached-token: 2000, full token usage: 0.85, swa token usage: 0.10, #running-req: 32, #queue-req: 32, #pending-token: 0, cuda graph: False, input throughput (token/s): 900.0
[2026-09-23 12:01:23 TP0 EP0] Decode batch, #running-req: 32, #full token: 1, full token usage: 0.85, #swa token: 1, swa token usage: 0.10, accept len: 3.8, accept rate: 0.60, cuda graph: True, gen throughput (token/s): 103.00, #queue-req: 0
[2026-09-23 12:01:23 TP0 EP0] Prefill batch, #new-seq: 4, #new-token: 8000, #cached-token: 2000, full token usage: 0.85, swa token usage: 0.10, #running-req: 32, #queue-req: 32, #pending-token: 0, cuda graph: False, input throughput (token/s): 900.0
[2026-09-23 12:01:24 TP0 EP0] Decode batch, #running-req: 32, #full token: 1, full token usage: 0.85, #swa token: 1, swa token usage: 0.10, accept len: 3.8, accept rate: 0.60, cuda graph: True, gen throughput (token/s): 103.00, #queue-req: 0
[2026-09-23 12:01:24 TP0 EP0] Prefill batch, #new-seq: 4, #new-token: 8000, #cached-token: 2000, full token usage: 0.85, swa token usage: 0.10, #running-req: 32, #queue-req: 32, #pending-token: 0, cuda graph: False, input throughput (token/s): 900.0
[2026-09-23 12:01:25 TP0 EP0] Decode batch, #running-req: 32, #full token: 1, full token usage: 0.85, #swa token: 1, swa token usage: 0.10, accept len: 3.8, accept rate: 0.60, cuda graph: True, gen throughput (token/s): 103.00, #queue-req: 0
