[2026-09-23 12:06:00 TP0 EP0] Decode batch, #running-req: 24, #full token: 1, full token usage: 0.60, #swa token: 1, swa token usage: 0.00, accept len: 3.5, accept rate: 0.5, cuda graph: True, gen throughput (token/s): 500.00, #queue-req: 0
[2026-09-23 12:06:05 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 100, #cached-token: 9900, full token usage: 0.60, swa token usage: 0.00, #running-req: 24, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 1000.0
[2026-09-23 12:06:06 TP0 EP0] Decode batch, #running-req: 24, #full token: 1, full token usage: 0.60, #swa token: 1, swa token usage: 0.00, accept len: 3.5, accept rate: 0.5, cuda graph: True, gen throughput (token/s): 500.00, #queue-req: 0
[2026-09-23 12:06:06 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 100, #cached-token: 9900, full token usage: 0.60, swa token usage: 0.00, #running-req: 24, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 1000.0
[2026-09-23 12:06:07 TP0 EP0] Decode batch, #running-req: 24, #full token: 1, full token usage: 0.60, #swa token: 1, swa token usage: 0.00, accept len: 3.5, accept rate: 0.5, cuda graph: True, gen throughput (token/s): 500.00, #queue-req: 0
[2026-09-23 12:06:07 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 100, #cached-token: 9900, full token usage: 0.60, swa token usage: 0.00, #running-req: 24, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 1000.0
[2026-09-23 12:06:08 TP0 EP0] Decode batch, #running-req: 24, #full token: 1, full token usage: 0.60, #swa token: 1, swa token usage: 0.00, accept len: 3.5, accept rate: 0.5, cuda graph: True, gen throughput (token/s): 500.00, #queue-req: 0
[2026-09-23 12:06:08 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 100, #cached-token: 9900, full token usage: 0.60, swa token usage: 0.00, #running-req: 24, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 1000.0
[2026-09-23 12:06:09 TP0 EP0] Decode batch, #running-req: 24, #full token: 1, full token usage: 0.60, #swa token: 1, swa token usage: 0.00, accept len: 3.5, accept rate: 0.5, cuda graph: True, gen throughput (token/s): 500.00, #queue-req: 0
[2026-09-23 12:06:09 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 100, #cached-token: 9900, full token usage: 0.60, swa token usage: 0.00, #running-req: 24, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 1000.0
[2026-09-23 12:06:10 TP0 EP0] Decode batch, #running-req: 24, #full token: 1, full token usage: 0.60, #swa token: 1, swa token usage: 0.00, accept len: 3.5, accept rate: 0.5, cuda graph: True, gen throughput (token/s): 500.00, #queue-req: 0
[2026-09-23 12:06:10 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 100, #cached-token: 9900, full token usage: 0.60, swa token usage: 0.00, #running-req: 24, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 1000.0
[2026-09-23 12:06:11 TP0 EP0] Decode batch, #running-req: 24, #full token: 1, full token usage: 0.60, #swa token: 1, swa token usage: 0.00, accept len: 3.5, accept rate: 0.5, cuda graph: True, gen throughput (token/s): 500.00, #queue-req: 0
[2026-09-23 12:06:11 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 100, #cached-token: 9900, full token usage: 0.60, swa token usage: 0.00, #running-req: 24, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 1000.0
[2026-09-23 12:06:12 TP0 EP0] Decode batch, #running-req: 24, #full token: 1, full token usage: 0.60, #swa token: 1, swa token usage: 0.00, accept len: 3.5, accept rate: 0.5, cuda graph: True, gen throughput (token/s): 500.00, #queue-req: 0
[2026-09-23 12:06:12 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 100, #cached-token: 9900, full token usage: 0.60, swa token usage: 0.00, #running-req: 24, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 1000.0
[2026-09-23 12:06:13 TP0 EP0] Decode batch, #running-req: 24, #full token: 1, full token usage: 0.60, #swa token: 1, swa token usage: 0.00, accept len: 3.5, accept rate: 0.5, cuda graph: True, gen throughput (token/s): 500.00, #queue-req: 0
[2026-09-23 12:06:13 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 100, #cached-token: 9900, full token usage: 0.60, swa token usage: 0.00, #running-req: 24, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 1000.0
[2026-09-23 12:06:14 TP0 EP0] Decode batch, #running-req: 24, #full token: 1, full token usage: 0.60, #swa token: 1, swa token usage: 0.00, accept len: 3.5, accept rate: 0.5, cuda graph: True, gen throughput (token/s): 500.00, #queue-req: 0
[2026-09-23 12:06:14 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 100, #cached-token: 9900, full token usage: 0.60, swa token usage: 0.00, #running-req: 24, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 1000.0
[2026-09-23 12:06:15 TP0 EP0] Decode batch, #running-req: 24, #full token: 1, full token usage: 0.60, #swa token: 1, swa token usage: 0.00, accept len: 3.5, accept rate: 0.5, cuda graph: True, gen throughput (token/s): 500.00, #queue-req: 0
[2026-09-23 12:06:15 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 100, #cached-token: 9900, full token usage: 0.60, swa token usage: 0.00, #running-req: 24, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 1000.0
[2026-09-23 12:06:16 TP0 EP0] Decode batch, #running-req: 24, #full token: 1, full token usage: 0.60, #swa token: 1, swa token usage: 0.00, accept len: 3.5, accept rate: 0.5, cuda graph: True, gen throughput (token/s): 500.00, #queue-req: 0
[2026-09-23 12:06:16 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 100, #cached-token: 9900, full token usage: 0.60, swa token usage: 0.00, #running-req: 24, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 1000.0
[2026-09-23 12:06:17 TP0 EP0] Decode batch, #running-req: 24, #full token: 1, full token usage: 0.60, #swa token: 1, swa token usage: 0.00, accept len: 3.5, accept rate: 0.5, cuda graph: True, gen throughput (token/s): 500.00, #queue-req: 0
[2026-09-23 12:06:17 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 100, #cached-token: 9900, full token usage: 0.60, swa token usage: 0.00, #running-req: 24, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 1000.0
[2026-09-23 12:06:18 TP0 EP0] Decode batch, #running-req: 24, #full token: 1, full token usage: 0.60, #swa token: 1, swa token usage: 0.00, accept len: 3.5, accept rate: 0.5, cuda graph: True, gen throughput (token/s): 500.00, #queue-req: 0
[2026-09-23 12:06:18 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 100, #cached-token: 9900, full token usage: 0.60, swa token usage: 0.00, #running-req: 24, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 1000.0
[2026-09-23 12:06:19 TP0 EP0] Decode batch, #running-req: 24, #full token: 1, full token usage: 0.60, #swa token: 1, swa token usage: 0.00, accept len: 3.5, accept rate: 0.5, cuda graph: True, gen throughput (token/s): 500.00, #queue-req: 0
[2026-09-23 12:06:19 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 100, #cached-token: 9900, full token usage: 0.60, swa token usage: 0.00, #running-req: 24, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 1000.0
[2026-09-23 12:06:20 TP0 EP0] Decode batch, #running-req: 24, #full token: 1, full token usage: 0.60, #swa token: 1, swa token usage: 0.00, accept len: 3.5, accept rate: 0.5, cuda graph: True, gen throughput (token/s): 500.00, #queue-req: 0
[2026-09-23 12:06:20 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 100, #cached-token: 9900, full token usage: 0.60, swa token usage: 0.00, #running-req: 24, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 1000.0
[2026-09-23 12:06:21 TP0 EP0] Decode batch, #running-req: 24, #full token: 1, full token usage: 0.60, #swa token: 1, swa token usage: 0.00, accept len: 3.5, accept rate: 0.5, cuda graph: True, gen throughput (token/s): 500.00, #queue-req: 0
[2026-09-23 12:06:21 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 100, #cached-token: 9900, full token usage: 0.60, swa token usage: 0.00, #running-req: 24, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 1000.0
[2026-09-23 12:06:22 TP0 EP0] Decode batch, #running-req: 24, #full token: 1, full token usage: 0.60, #swa token: 1, swa token usage: 0.00, accept len: 3.5, accept rate: 0.5, cuda graph: True, gen throughput (token/s): 500.00, #queue-req: 0
[2026-09-23 12:06:22 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 100, #cached-token: 9900, full token usage: 0.60, swa token usage: 0.00, #running-req: 24, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 1000.0
[2026-09-23 12:06:23 TP0 EP0] Decode batch, #running-req: 24, #full token: 1, full token usage: 0.60, #swa token: 1, swa token usage: 0.00, accept len: 3.5, accept rate: 0.5, cuda graph: True, gen throughput (token/s): 500.00, #queue-req: 0
[2026-09-23 12:06:23 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 100, #cached-token: 9900, full token usage: 0.60, swa token usage: 0.00, #running-req: 24, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 1000.0
[2026-09-23 12:06:24 TP0 EP0] Decode batch, #running-req: 24, #full token: 1, full token usage: 0.60, #swa token: 1, swa token usage: 0.00, accept len: 3.5, accept rate: 0.5, cuda graph: True, gen throughput (token/s): 500.00, #queue-req: 0
[2026-09-23 12:06:24 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 100, #cached-token: 9900, full token usage: 0.60, swa token usage: 0.00, #running-req: 24, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 1000.0
[2026-09-23 12:06:25 TP0 EP0] Decode batch, #running-req: 24, #full token: 1, full token usage: 0.60, #swa token: 1, swa token usage: 0.00, accept len: 3.5, accept rate: 0.5, cuda graph: True, gen throughput (token/s): 500.00, #queue-req: 0
[2026-09-23 12:06:25 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 100, #cached-token: 9900, full token usage: 0.60, swa token usage: 0.00, #running-req: 24, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 1000.0
[2026-09-23 12:06:26 TP0 EP0] Decode batch, #running-req: 24, #full token: 1, full token usage: 0.60, #swa token: 1, swa token usage: 0.00, accept len: 3.5, accept rate: 0.5, cuda graph: True, gen throughput (token/s): 500.00, #queue-req: 0
[2026-09-23 12:06:26 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 100, #cached-token: 9900, full token usage: 0.60, swa token usage: 0.00, #running-req: 24, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 1000.0
[2026-09-23 12:06:27 TP0 EP0] Decode batch, #running-req: 24, #full token: 1, full token usage: 0.60, #swa token: 1, swa token usage: 0.00, accept len: 3.5, accept rate: 0.5, cuda graph: True, gen throughput (token/s): 500.00, #queue-req: 0
[2026-09-23 12:06:27 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 100, #cached-token: 9900, full token usage: 0.60, swa token usage: 0.00, #running-req: 24, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 1000.0
[2026-09-23 12:06:28 TP0 EP0] Decode batch, #running-req: 24, #full token: 1, full token usage: 0.60, #swa token: 1, swa token usage: 0.00, accept len: 3.5, accept rate: 0.5, cuda graph: True, gen throughput (token/s): 500.00, #queue-req: 0
[2026-09-23 12:06:28 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 100, #cached-token: 9900, full token usage: 0.60, swa token usage: 0.00, #running-req: 24, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 1000.0
[2026-09-23 12:06:29 TP0 EP0] Decode batch, #running-req: 24, #full token: 1, full token usage: 0.60, #swa token: 1, swa token usage: 0.00, accept len: 3.5, accept rate: 0.5, cuda graph: True, gen throughput (token/s): 500.00, #queue-req: 0
[2026-09-23 12:06:29 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 100, #cached-token: 9900, full token usage: 0.60, swa token usage: 0.00, #running-req: 24, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 1000.0
[2026-09-23 12:06:00 TP0 EP0] Decode batch, #running-req: 26, #full token: 1, full token usage: 0.65, #swa token: 1, swa token usage: 0.00, accept len: 3.5, accept rate: 0.5, cuda graph: True, gen throughput (token/s): 500.00, #queue-req: 0
[2026-09-23 12:06:00 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 100, #cached-token: 9900, full token usage: 0.65, swa token usage: 0.00, #running-req: 26, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 1000.0
[2026-09-23 12:06:01 TP0 EP0] Decode batch, #running-req: 26, #full token: 1, full token usage: 0.65, #swa token: 1, swa token usage: 0.00, accept len: 3.5, accept rate: 0.5, cuda graph: True, gen throughput (token/s): 500.00, #queue-req: 0
[2026-09-23 12:06:01 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 100, #cached-token: 9900, full token usage: 0.65, swa token usage: 0.00, #running-req: 26, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 1000.0
[2026-09-23 12:06:02 TP0 EP0] Decode batch, #running-req: 26, #full token: 1, full token usage: 0.65, #swa token: 1, swa token usage: 0.00, accept len: 3.5, accept rate: 0.5, cuda graph: True, gen throughput (token/s): 500.00, #queue-req: 0
[2026-09-23 12:06:02 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 100, #cached-token: 9900, full token usage: 0.65, swa token usage: 0.00, #running-req: 26, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 1000.0
[2026-09-23 12:06:03 TP0 EP0] Decode batch, #running-req: 26, #full token: 1, full token usage: 0.65, #swa token: 1, swa token usage: 0.00, accept len: 3.5, accept rate: 0.5, cuda graph: True, gen throughput (token/s): 500.00, #queue-req: 0
[2026-09-23 12:06:03 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 100, #cached-token: 9900, full token usage: 0.65, swa token usage: 0.00, #running-req: 26, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 1000.0
[2026-09-23 12:06:04 TP0 EP0] Decode batch, #running-req: 26, #full token: 1, full token usage: 0.65, #swa token: 1, swa token usage: 0.00, accept len: 3.5, accept rate: 0.5, cuda graph: True, gen throughput (token/s): 500.00, #queue-req: 0
[2026-09-23 12:06:04 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 100, #cached-token: 9900, full token usage: 0.65, swa token usage: 0.00, #running-req: 26, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 1000.0
[2026-09-23 12:06:05 TP0 EP0] Decode batch, #running-req: 26, #full token: 1, full token usage: 0.65, #swa token: 1, swa token usage: 0.00, accept len: 3.5, accept rate: 0.5, cuda graph: True, gen throughput (token/s): 500.00, #queue-req: 0
[2026-09-23 12:06:05 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 100, #cached-token: 9900, full token usage: 0.65, swa token usage: 0.00, #running-req: 26, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 1000.0
[2026-09-23 12:06:06 TP0 EP0] Decode batch, #running-req: 26, #full token: 1, full token usage: 0.65, #swa token: 1, swa token usage: 0.00, accept len: 3.5, accept rate: 0.5, cuda graph: True, gen throughput (token/s): 500.00, #queue-req: 0
[2026-09-23 12:06:06 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 100, #cached-token: 9900, full token usage: 0.65, swa token usage: 0.00, #running-req: 26, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 1000.0
[2026-09-23 12:06:07 TP0 EP0] Decode batch, #running-req: 26, #full token: 1, full token usage: 0.65, #swa token: 1, swa token usage: 0.00, accept len: 3.5, accept rate: 0.5, cuda graph: True, gen throughput (token/s): 500.00, #queue-req: 0
[2026-09-23 12:06:07 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 100, #cached-token: 9900, full token usage: 0.65, swa token usage: 0.00, #running-req: 26, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 1000.0
[2026-09-23 12:06:08 TP0 EP0] Decode batch, #running-req: 26, #full token: 1, full token usage: 0.65, #swa token: 1, swa token usage: 0.00, accept len: 3.5, accept rate: 0.5, cuda graph: True, gen throughput (token/s): 500.00, #queue-req: 0
[2026-09-23 12:06:08 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 100, #cached-token: 9900, full token usage: 0.65, swa token usage: 0.00, #running-req: 26, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 1000.0
[2026-09-23 12:06:09 TP0 EP0] Decode batch, #running-req: 26, #full token: 1, full token usage: 0.65, #swa token: 1, swa token usage: 0.00, accept len: 3.5, accept rate: 0.5, cuda graph: True, gen throughput (token/s): 500.00, #queue-req: 0
[2026-09-23 12:06:09 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 100, #cached-token: 9900, full token usage: 0.65, swa token usage: 0.00, #running-req: 26, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 1000.0
[2026-09-23 12:06:10 TP0 EP0] Decode batch, #running-req: 26, #full token: 1, full token usage: 0.65, #swa token: 1, swa token usage: 0.00, accept len: 3.5, accept rate: 0.5, cuda graph: True, gen throughput (token/s): 500.00, #queue-req: 0
[2026-09-23 12:06:10 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 100, #cached-token: 9900, full token usage: 0.65, swa token usage: 0.00, #running-req: 26, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 1000.0
[2026-09-23 12:06:11 TP0 EP0] Decode batch, #running-req: 26, #full token: 1, full token usage: 0.65, #swa token: 1, swa token usage: 0.00, accept len: 3.5, accept rate: 0.5, cuda graph: True, gen throughput (token/s): 500.00, #queue-req: 0
[2026-09-23 12:06:11 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 100, #cached-token: 9900, full token usage: 0.65, swa token usage: 0.00, #running-req: 26, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 1000.0
[2026-09-23 12:06:12 TP0 EP0] Decode batch, #running-req: 26, #full token: 1, full token usage: 0.65, #swa token: 1, swa token usage: 0.00, accept len: 3.5, accept rate: 0.5, cuda graph: True, gen throughput (token/s): 500.00, #queue-req: 0
[2026-09-23 12:06:12 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 100, #cached-token: 9900, full token usage: 0.65, swa token usage: 0.00, #running-req: 26, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 1000.0
[2026-09-23 12:06:13 TP0 EP0] Decode batch, #running-req: 26, #full token: 1, full token usage: 0.65, #swa token: 1, swa token usage: 0.00, accept len: 3.5, accept rate: 0.5, cuda graph: True, gen throughput (token/s): 500.00, #queue-req: 0
[2026-09-23 12:06:13 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 100, #cached-token: 9900, full token usage: 0.65, swa token usage: 0.00, #running-req: 26, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 1000.0
[2026-09-23 12:06:14 TP0 EP0] Decode batch, #running-req: 26, #full token: 1, full token usage: 0.65, #swa token: 1, swa token usage: 0.00, accept len: 3.5, accept rate: 0.5, cuda graph: True, gen throughput (token/s): 500.00, #queue-req: 0
[2026-09-23 12:06:14 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 100, #cached-token: 9900, full token usage: 0.65, swa token usage: 0.00, #running-req: 26, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 1000.0
[2026-09-23 12:06:15 TP0 EP0] Decode batch, #running-req: 26, #full token: 1, full token usage: 0.65, #swa token: 1, swa token usage: 0.00, accept len: 3.5, accept rate: 0.5, cuda graph: True, gen throughput (token/s): 500.00, #queue-req: 0
[2026-09-23 12:06:15 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 100, #cached-token: 9900, full token usage: 0.65, swa token usage: 0.00, #running-req: 26, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 1000.0
[2026-09-23 12:06:16 TP0 EP0] Decode batch, #running-req: 26, #full token: 1, full token usage: 0.65, #swa token: 1, swa token usage: 0.00, accept len: 3.5, accept rate: 0.5, cuda graph: True, gen throughput (token/s): 500.00, #queue-req: 0
[2026-09-23 12:06:16 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 100, #cached-token: 9900, full token usage: 0.65, swa token usage: 0.00, #running-req: 26, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 1000.0
[2026-09-23 12:06:17 TP0 EP0] Decode batch, #running-req: 26, #full token: 1, full token usage: 0.65, #swa token: 1, swa token usage: 0.00, accept len: 3.5, accept rate: 0.5, cuda graph: True, gen throughput (token/s): 500.00, #queue-req: 0
[2026-09-23 12:06:17 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 100, #cached-token: 9900, full token usage: 0.65, swa token usage: 0.00, #running-req: 26, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 1000.0
[2026-09-23 12:06:18 TP0 EP0] Decode batch, #running-req: 26, #full token: 1, full token usage: 0.65, #swa token: 1, swa token usage: 0.00, accept len: 3.5, accept rate: 0.5, cuda graph: True, gen throughput (token/s): 500.00, #queue-req: 0
[2026-09-23 12:06:18 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 100, #cached-token: 9900, full token usage: 0.65, swa token usage: 0.00, #running-req: 26, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 1000.0
[2026-09-23 12:06:19 TP0 EP0] Decode batch, #running-req: 26, #full token: 1, full token usage: 0.65, #swa token: 1, swa token usage: 0.00, accept len: 3.5, accept rate: 0.5, cuda graph: True, gen throughput (token/s): 500.00, #queue-req: 0
[2026-09-23 12:06:19 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 100, #cached-token: 9900, full token usage: 0.65, swa token usage: 0.00, #running-req: 26, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 1000.0
[2026-09-23 12:06:20 TP0 EP0] Decode batch, #running-req: 26, #full token: 1, full token usage: 0.65, #swa token: 1, swa token usage: 0.00, accept len: 3.5, accept rate: 0.5, cuda graph: True, gen throughput (token/s): 500.00, #queue-req: 0
[2026-09-23 12:06:20 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 100, #cached-token: 9900, full token usage: 0.65, swa token usage: 0.00, #running-req: 26, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 1000.0
[2026-09-23 12:06:21 TP0 EP0] Decode batch, #running-req: 26, #full token: 1, full token usage: 0.65, #swa token: 1, swa token usage: 0.00, accept len: 3.5, accept rate: 0.5, cuda graph: True, gen throughput (token/s): 500.00, #queue-req: 0
[2026-09-23 12:06:21 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 100, #cached-token: 9900, full token usage: 0.65, swa token usage: 0.00, #running-req: 26, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 1000.0
[2026-09-23 12:06:22 TP0 EP0] Decode batch, #running-req: 26, #full token: 1, full token usage: 0.65, #swa token: 1, swa token usage: 0.00, accept len: 3.5, accept rate: 0.5, cuda graph: True, gen throughput (token/s): 500.00, #queue-req: 0
[2026-09-23 12:06:22 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 100, #cached-token: 9900, full token usage: 0.65, swa token usage: 0.00, #running-req: 26, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 1000.0
[2026-09-23 12:06:23 TP0 EP0] Decode batch, #running-req: 26, #full token: 1, full token usage: 0.65, #swa token: 1, swa token usage: 0.00, accept len: 3.5, accept rate: 0.5, cuda graph: True, gen throughput (token/s): 500.00, #queue-req: 0
[2026-09-23 12:06:23 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 100, #cached-token: 9900, full token usage: 0.65, swa token usage: 0.00, #running-req: 26, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 1000.0
[2026-09-23 12:06:24 TP0 EP0] Decode batch, #running-req: 26, #full token: 1, full token usage: 0.65, #swa token: 1, swa token usage: 0.00, accept len: 3.5, accept rate: 0.5, cuda graph: True, gen throughput (token/s): 500.00, #queue-req: 0
[2026-09-23 12:06:24 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 100, #cached-token: 9900, full token usage: 0.65, swa token usage: 0.00, #running-req: 26, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 1000.0
[2026-09-23 12:06:25 TP0 EP0] Decode batch, #running-req: 26, #full token: 1, full token usage: 0.65, #swa token: 1, swa token usage: 0.00, accept len: 3.5, accept rate: 0.5, cuda graph: True, gen throughput (token/s): 500.00, #queue-req: 0
